"","SOCMAIN","SOC2KM","from","to"
"1",100,1111,0,0.231491338430272
"2",100,1112,0.231491338430272,0.26700861318107
"3",100,1113,0.26700861318107,0.360301945224039
"4",100,1141,0.360301945224039,0.394367560243879
"5",100,1152,0.394367560243879,0.424658859963225
"6",100,1161,0.424658859963225,0.472370076454079
"7",100,1171,0.472370076454079,0.508080905835672
"8",100,2423,0.508080905835672,0.560340656150198
"9",100,2441,0.560340656150198,0.721958772863641
"10",100,3543,0.721958772863641,0.762702022645892
"11",100,4111,0.762702022645892,0.908835768895771
"12",100,4112,0.908835768895771,0.954901771024872
"13",100,4134,0.954901771024872,1
"14",101,1112,0,0.177542795036681
"15",101,1114,0.177542795036681,0.224617335386287
"16",101,1121,0.224617335386287,0.413798568970202
"17",101,1122,0.413798568970202,0.472579476496694
"18",101,1131,0.472579476496694,0.525971379404039
"19",101,1132,0.525971379404039,0.575015850013586
"20",101,1133,0.575015850013586,0.585114572955348
"21",101,1134,0.585114572955348,0.595892582193642
"22",101,1136,0.595892582193642,0.645299338828005
"23",101,1137,0.645299338828005,0.664070283488814
"24",101,1151,0.664070283488814,0.704012317724844
"25",101,1161,0.704012317724844,0.742618422244362
"26",101,1163,0.742618422244362,0.827755638076261
"27",101,1181,0.827755638076261,0.836314645412553
"28",101,1185,0.836314645412553,0.857983878271896
"29",101,1223,0.857983878271896,0.8689883162757
"30",101,1232,0.8689883162757,0.878634181686441
"31",101,1234,0.878634181686441,0.884770401231773
"32",101,1239,0.884770401231773,0.893057694049452
"33",101,2111,0.893057694049452,0.902748845213296
"34",101,2113,0.902748845213296,0.916968571687347
"35",101,2421,0.916968571687347,0.929195725024907
"36",101,2431,0.929195725024907,0.939724662621139
"37",101,2441,0.939724662621139,0.94912145638982
"38",101,3211,0.94912145638982,0.964314826555566
"39",101,3534,0.964314826555566,0.972987048274613
"40",101,3543,0.972987048274613,0.979825196993026
"41",101,5223,0.979825196993026,0.990580563354769
"42",101,6219,0.990580563354769,1
"43",102,1112,0,0.00550520877445583
"44",102,1113,0.00550520877445583,0.0784111120521724
"45",102,1114,0.0784111120521724,0.0848818497501482
"46",102,1121,0.0848818497501482,0.0930634369441856
"47",102,1122,0.0930634369441856,0.115135089353773
"48",102,1131,0.115135089353773,0.135716100618277
"49",102,1134,0.135716100618277,0.143101549928009
"50",102,1135,0.143101549928009,0.198763445413738
"51",102,1152,0.198763445413738,0.227966460574236
"52",102,1181,0.227966460574236,0.239942407046667
"53",102,1184,0.239942407046667,0.28755822816973
"54",102,1185,0.28755822816973,0.327060218514441
"55",102,1225,0.327060218514441,0.334970780045736
"56",102,1231,0.334970780045736,0.433420852036927
"57",102,1239,0.433420852036927,0.455390869822986
"58",102,2131,0.455390869822986,0.461607520962141
"59",102,2132,0.461607520962141,0.479020919793343
"60",102,2316,0.479020919793343,0.486914542220717
"61",102,2329,0.486914542220717,0.49106462268146
"62",102,2419,0.49106462268146,0.499110697044126
"63",102,2423,0.499110697044126,0.505598373846024
